id;date;open_card_count;add_to_cart_count;orders_count;orders_sum_rub;median_orders_sum_per_user;median_drr;avg_orders_sum_per_user;drr;views;cliks;sum
3;2032-11-01;11129;1802;188;2789895;1766;67.07;9509;54.44;191408;2387;23557.06
3;2032-11-02;4334;853;171;1994411;2871;30.76;6398;27.09;716986;2038;25234.71
3;2032-11-03;7302;1618;197;2281386;2477;74.86;3549;95.45;661493;4101;11834.34
3;2032-11-04;4702;1730;224;1908640;2303;73.5;3487;86.54;669564;4745;13854.55
3;2032-11-05;5522;1186;135;846621;1981;20.01;1056;68.27;669738;4541;19147.03
3;2032-11-06;10998;1262;200;3088648;1319;31.5;4352;43.56;182678;2630;17362.5
3;2032-11-07;5891;963;187;2800707;1625;8.25;9442;1.07;134053;1919;15669.59
3;2032-11-08;8822;913;126;867113;1296;10.94;5092;24.25;329248;4215;12924.48
3;2032-11-09;10247;1942;78;3385093;1661;81.51;5423;3.18;229532;4039;19623.29
3;2032-11-10;7460;1648;86;3335472;1687;8.48;1371;50.56;125036;1535;25197.77
3;2032-11-11;9299;1309;98;616764;1209;67.15;769;89.97;937751;1762;15977.85
3;2032-11-12;4870;1197;87;259812;1250;81.15;3393;24.53;360466;3103;20028.27
3;2032-11-13;8865;1944;140;1637227;2407;82.8;7009;5.82;395986;2404;11862.96
3;2032-11-14;8629;1261;208;1230511;2976;54.19;3403;64.53;976004;4294;16235.9
